lat,lon,sza,lt,fmax,event,t_fdmax,t_rdmax,dt,pk
37.93,-75.47,39.1,13.42,3.1902399999999995e-05,2011-09-24 17:25:00,2011-09-24 17:14:00.843000,2011-09-24 17:21:22.990804,442.15,32_wal
38.86,-99.39,42.07,12.42,3.1902399999999995e-05,2011-09-24 17:25:00,2011-09-24 17:14:00.843000,2011-09-24 17:21:48.398029,467.56,32_fhe
38.86,-99.39,42.07,12.42,3.1902399999999995e-05,2011-09-24 17:25:00,2011-09-24 17:14:00.843000,2011-09-24 17:21:01.064502,420.22,32_fhw
49.39,-82.32,49.9,13.42,3.1902399999999995e-05,2011-09-24 17:25:00,2011-09-24 17:14:00.843000,2011-09-24 17:20:36.728707,395.89,32_kap
52.16,-106.53,56.18,11.42,3.1902399999999995e-05,2011-09-24 17:25:00,2011-09-24 17:14:00.843000,2011-09-24 17:21:33.371401,452.53,32_sas
37.93,-75.47,51.24,15.35,3.09581e-05,2011-09-24 19:21:00,2011-09-24 19:04:01.460000,2011-09-24 19:20:02.383945,960.92,34_wal
38.86,-99.39,41.13,14.35,3.09581e-05,2011-09-24 19:21:00,2011-09-24 19:04:01.460000,2011-09-24 19:14:45.824131,644.36,34_fhe
38.86,-99.39,41.13,14.35,3.09581e-05,2011-09-24 19:21:00,2011-09-24 19:04:01.460000,2011-09-24 19:14:01.350254,599.89,34_fhw
43.27,-120.36,44.41,12.35,3.09581e-05,2011-09-24 19:21:00,2011-09-24 19:04:01.460000,2011-09-24 19:13:19.637097,558.18,34_cve
43.27,-120.36,44.41,12.35,3.09581e-05,2011-09-24 19:21:00,2011-09-24 19:04:01.460000,2011-09-24 19:15:40.926386,699.47,34_cvw
52.16,-106.53,52.92,13.35,3.09581e-05,2011-09-24 19:21:00,2011-09-24 19:04:01.460000,2011-09-24 19:12:30.317614,508.86,34_sas
53.98,-122.59,55.18,12.35,3.09581e-05,2011-09-24 19:21:00,2011-09-24 19:04:01.460000,2011-09-24 19:09:51.071208,349.61,34_pgr
38.86,-99.39,39.53,13.25,2.8628600000000002e-05,2011-09-24 18:15:00,2011-09-24 17:54:01.067000,2011-09-24 18:02:48.720621,527.65,35_fhe
38.86,-99.39,39.53,13.25,2.86286e-05,2011-09-24 18:15:00,2011-09-24 17:54:01.067000,2011-09-24 18:03:38.129716,577.06,35_fhw
43.27,-120.36,49.03,11.25,2.8628600000000002e-05,2011-09-24 18:15:00,2011-09-24 17:54:01.067000,2011-09-24 18:03:31.562163,570.5,35_cve
49.39,-82.32,51.23,14.25,2.86286e-05,2011-09-24 18:15:00,2011-09-24 17:54:01.067000,2011-09-24 18:04:46.007219,644.94,35_kap
52.16,-106.53,53.46,12.25,2.8628600000000002e-05,2011-09-24 18:15:00,2011-09-24 17:54:01.067000,2011-09-24 18:03:39.442351,578.38,35_sas
37.93,-75.47,48.95,10.77,2.64251e-05,2011-09-26 14:46:00,2011-09-26 14:40:34.537000,2011-09-26 14:41:53.915645,79.38,37_wal
38.86,-99.39,64.85,9.77,2.6425100000000002e-05,2011-09-26 14:46:00,2011-09-26 14:40:34.537000,2011-09-26 14:43:40.773245,186.24,37_fhe
43.27,-120.36,81.15,7.77,2.64251e-05,2011-09-26 14:46:00,2011-09-26 14:40:34.537000,2011-09-26 14:40:50.102624,15.57,37_cvw
53.32,-60.46,56.33,11.77,2.6425100000000002e-05,2011-09-26 14:46:00,2011-09-26 14:40:34.537000,2011-09-26 14:40:51.170258,16.63,37_gbr
52.16,-106.53,74.74,8.77,2.64251e-05,2011-09-26 14:46:00,2011-09-26 14:40:34.537000,2011-09-26 14:41:57.712813,83.18,37_sas
37.93,-75.47,114.93,2.68,2.55542e-05,2011-06-07 06:41:00,2011-06-07 06:24:40.617000,2011-06-07 06:37:33.491658,772.87,38_wal
43.27,-120.36,111.54,23.68,2.55542e-05,2011-06-07 06:41:00,2011-06-07 06:24:40.617000,2011-06-07 06:34:07.978954,567.36,38_cve
53.98,-122.59,100.98,23.68,2.55542e-05,2011-06-07 06:41:00,2011-06-07 06:24:40.617000,2011-06-07 06:32:24.201807,463.58,38_pgr
