lat,lon,sza,lt,fmax,event,t_fdmax,t_rdmax,dt,pk
56.38,-94.64,44.95,11.08,0.000288461,2013-05-13 16:05:00,2013-05-13 15:51:40.643000,2013-05-13 16:02:30,649.36,102_gill
64.05,-139.11,67.66,9.08,0.000288461,2013-05-13 16:05:00,2013-05-13 15:51:40.643000,2013-05-13 15:52:30,49.36,102_daws
61.76,-121.23,59.27,10.08,0.000288461,2013-05-13 16:05:00,2013-05-13 15:51:40.643000,2013-05-13 15:59:50,489.36,102_fsim
60.02,-111.95,54.44,10.08,0.000288461,2013-05-13 16:05:00,2013-05-13 15:51:40.643000,2013-05-13 16:00:15,514.36,102_fsmi
56.66,-111.21,52.6,10.08,0.000288461,2013-05-13 16:05:00,2013-05-13 15:51:40.643000,2013-05-13 16:00:15,514.36,102_mcmu
69.54,-93.55,92.73,15.9,0.000235325,2013-10-29 21:54:00,2013-10-29 21:46:39.283000,2013-10-29 21:46:57,17.72,103_talo
50.02,-96.04,80.57,16.9,0.000235325,2013-10-29 21:54:00,2013-10-29 21:46:39.283000,2013-10-29 21:47:02,22.72,103_pina
56.38,-94.64,84.8,16.9,0.000235325,2013-10-29 21:54:00,2013-10-29 21:46:39.283000,2013-10-29 21:47:52,72.72,103_gill
64.05,-139.11,78.39,14.9,0.000235325,2013-10-29 21:54:00,2013-10-29 21:46:39.283000,2013-10-29 21:51:47,307.72,103_daws
61.76,-121.23,79.35,15.9,0.000235325,2013-10-29 21:54:00,2013-10-29 21:46:39.283000,2013-10-29 21:47:57,77.72,103_fsim
58.22,-103.68,82.16,15.9,0.000235325,2013-10-29 21:54:00,2013-10-29 21:46:39.283000,2013-10-29 21:46:57,17.72,103_rabb
56.66,-111.21,78.25,15.9,0.000235325,2013-10-29 21:54:00,2013-10-29 21:46:39.283000,2013-10-29 21:48:52,132.72,103_mcmu
69.54,-93.55,87.07,9.05,0.000214171,2013-10-25 15:03:00,2013-10-25 14:53:46.143000,2013-10-25 14:59:20,333.86,104_talo
50.02,-96.04,74.24,10.05,0.00021417099999999998,2013-10-25 15:03:00,2013-10-25 14:53:46.143000,2013-10-25 14:59:25,338.86,104_pina
56.38,-94.64,78.04,10.05,0.000214171,2013-10-25 15:03:00,2013-10-25 14:53:46.143000,2013-10-25 15:01:05,438.86,104_gill
58.22,-103.68,82.88,9.05,0.00021417099999999998,2013-10-25 15:03:00,2013-10-25 14:53:46.143000,2013-10-25 15:01:05,438.86,104_rabb
56.38,-94.64,89.73,21.28,0.000175473,2013-05-13 02:17:00,2013-05-13 01:58:13.040000,2013-05-13 02:07:22,548.96,105_gill
64.05,-139.11,67.4,19.28,0.000175473,2013-05-13 02:17:00,2013-05-13 01:58:13.040000,2013-05-13 02:07:12,538.96,105_daws
61.76,-121.23,75.63,20.28,0.000175473,2013-05-13 02:17:00,2013-05-13 01:58:13.040000,2013-05-13 02:13:57,943.96,105_fsim
50.02,-96.04,135.67,3.02,0.00017580799999999998,2013-10-25 08:01:00,2013-10-25 07:57:06.550000,2013-10-25 07:57:34,27.45,106_pina
56.38,-94.64,130.28,3.02,0.00017580799999999998,2013-10-25 08:01:00,2013-10-25 07:57:06.550000,2013-10-25 07:59:29,142.45,106_gill
61.76,-121.23,130.38,2.02,0.00017580799999999998,2013-10-25 08:01:00,2013-10-25 07:57:06.550000,2013-10-25 07:57:59,52.45,106_fsim
58.22,-103.68,131.42,2.02,0.00017580799999999998,2013-10-25 08:01:00,2013-10-25 07:57:06.550000,2013-10-25 07:58:24,77.45,106_rabb
56.38,-94.64,86.23,20.8,0.00012945,2013-05-15 01:48:00,2013-05-15 01:28:52.367000,2013-05-15 01:42:52,839.63,107_gill
64.05,-139.11,63.83,18.8,0.00012945,2013-05-15 01:48:00,2013-05-15 01:28:52.367000,2013-05-15 01:45:47,1014.63,107_daws
61.76,-121.23,71.84,19.8,0.00012945,2013-05-15 01:48:00,2013-05-15 01:28:52.367000,2013-05-15 01:36:07,434.63,107_fsim
60.02,-111.95,76.58,19.8,0.00012945,2013-05-15 01:48:00,2013-05-15 01:28:52.367000,2013-05-15 01:34:27,334.63,107_fsmi
69.54,-93.55,127.2,22.23,0.00011434100000000001,2013-11-10 05:14:00,2013-11-10 05:10:55.277000,2013-11-10 05:12:13,77.72,109_talo
