date,Cls,start_time,max_time,end_time
2014-10-24,M4,2014-10-24 07:37,2014-10-24 07:48,2014-10-24 07:53
2014-06-11,M3.9,2014-06-11 20:53,2014-06-11 21:03,2014-06-11 21:10
2014-08-25,M3.9,2014-08-25 20:06,2014-08-25 20:21,2014-08-25 20:29
2015-05-05,X2.7,2015-05-05 22:05,2015-05-05 22:11,2015-05-05 22:15
2015-03-11,X2.2,2015-03-11 16:11,2015-03-11 16:22,2015-03-11 16:29
2015-03-07,M9.2,2015-03-07 21:45,2015-03-07 22:22,2015-03-07 22:58
2015-03-03,M8.2,2015-03-03 01:25,2015-03-03 01:35,2015-03-03 01:42
2015-06-25,M7.9,2015-06-25 08:02,2015-06-25 08:16,2015-06-25 09:05
2015-06-25,M7.9,2015-06-25 08:02,2015-06-25 08:16,2015-06-25 09:05
2015-09-28,M7.6,2015-09-28 14:53,2015-09-28 14:58,2015-09-28 15:03
2015-06-22,M6.5,2015-06-22 17:39,2015-06-22 18:23,2015-06-22 18:51
2015-03-09,M5.8,2015-03-09 23:29,2015-03-09 23:53,2015-03-09 00:12
2015-01-13,M5.6,2015-01-13 04:13,2015-01-13 04:24,2015-01-13 04:38
2015-08-24,M5.6,2015-08-24 07:26,2015-08-24 07:33,2015-08-24 07:35
2015-10-02,M5.5,2015-10-02 00:06,2015-10-02 00:13,2015-10-02 00:17
2015-03-10,M5.1,2015-03-10 03:19,2015-03-10 03:24,2015-03-10 03:28
2015-01-13,M4.9,2015-01-13 04:46,2015-01-13 04:58,2015-01-13 05:10
2015-12-23,M4.7,2015-12-23 00:23,2015-12-23 00:40,2015-12-23 00:52
2015-03-09,M4.5,2015-03-09 14:22,2015-03-09 14:33,2015-03-09 14:37
2015-10-01,M4.5,2015-10-01 13:03,2015-10-01 13:10,2015-10-01 13:14
2015-03-12,M4.2,2015-03-12 13:50,2015-03-12 14:08,2015-03-12 14:13
2015-03-02,M4.1,2015-03-02 19:21,2015-03-02 19:31,2015-03-02 19:36
2015-04-21,M4,2015-04-21 15:24,2015-04-21 15:45,2015-04-21 15:51
2015-11-09,M3.9,2015-11-09 12:49,2015-11-09 13:12,2015-11-09 13:28
2015-06-21,M3.8,2015-06-21 09:38,2015-06-21 09:44,2015-06-21 09:50
2015-03-02,M3.7,2015-03-02 15:10,2015-03-02 15:28,2015-03-02 15:37
2015-11-04,M3.7,2015-11-04 13:31,2015-11-04 13:52,2015-11-04 14:13
2015-09-28,M3.6,2015-09-28 03:45,2015-09-28 03:55,2015-09-28 03:59
2015-08-22,M3.5,2015-08-22 21:19,2015-08-22 21:24,2015-08-22 21:28
2015-03-12,M3.2,2015-03-12 04:41,2015-03-12 04:46,2015-03-12 04:50
2015-03-06,M3,2015-03-06 04:14,2015-03-06 04:57,2015-03-06 05:27
2015-06-18,M3,2015-06-18 16:30,2015-06-18 17:36,2015-06-18 18:25
2015-03-10,M2.9,2015-03-10 23:46,2015-03-10 00:02,2015-03-10 00:06
2015-08-27,M2.9,2015-08-27 04:48,2015-08-27 05:44,2015-08-27 06:03
2015-09-29,M2.9,2015-09-29 05:05,2015-09-29 05:16,2015-09-29 05:23
2015-12-21,M2.8,2015-12-21 00:52,2015-12-21 01:03,2015-12-21 01:11
2015-03-12,M2.7,2015-03-12 21:44,2015-03-12 21:51,2015-03-12 21:56
2015-03-11,M2.6,2015-03-11 07:51,2015-03-11 07:57,2015-03-11 08:03
2015-05-05,M2.6,2015-05-05 17:12,2015-05-05 17:24,2015-05-05 17:30
2015-06-21,M2.6,2015-06-21 02:06,2015-06-21 02:36,2015-06-21 03:02
2015-11-04,M2.5,2015-11-04 11:55,2015-11-04 12:03,2015-11-04 12:06
2015-01-30,M2.4,2015-01-30 12:10,2015-01-30 12:16,2015-01-30 12:21
2015-02-09,M2.4,2015-02-09 22:19,2015-02-09 23:35,2015-02-09 00:16
2015-01-14,M2.2,2015-01-14 12:30,2015-01-14 12:58,2015-01-14 13:08
2015-04-21,M2.2,2015-04-21 10:17,2015-04-21 10:40,2015-04-21 10:59
2015-04-21,M2.2,2015-04-21 11:49,2015-04-21 11:57,2015-04-21 12:02
2015-08-28,M2.2,2015-08-28 13:04,2015-08-28 13:16,2015-08-28 13:23
2015-01-29,M2.1,2015-01-29 11:32,2015-01-29 11:42,2015-01-29 11:52
2015-04-21,M2.1,2015-04-21 16:55,2015-04-21 17:00,2015-04-21 17:09
2015-08-28,M2.1,2015-08-28 18:56,2015-08-28 19:03,2015-08-28 19:06
2015-09-20,M2.1,2015-09-20 17:32,2015-09-20 18:03,2015-09-20 18:29
2015-01-30,M2,2015-01-30 00:32,2015-01-30 00:44,2015-01-30 01:02
2015-06-14,M2,2015-06-14 00:52,2015-06-14 00:59,2015-06-14 01:09
2017-09-06,X9.3,2017-09-06 11:53,2017-09-06 12:02,2017-09-06 12:10
2017-09-10,X8.2,2017-09-10 15:35,2017-09-10 16:06,2017-09-10 16:31
2017-09-06,X2.2,2017-09-06 08:57,2017-09-06 09:10,2017-09-06 09:17
2017-09-07,X1.3,2017-09-07 14:20,2017-09-07 14:36,2017-09-07 14:55
